epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.795,0.70064,1.19236,1.18403,0.78819,0.8122,0.85399,0.63799,0.85541,1.39075,1.37163,0.000661728,0.000661728,0.000661728
2,1667.12,0.82422,0.94032,1.25836,0.69078,0.68522,0.70367,0.45482,1.10196,1.50011,1.60981,0.00130209,0.00130209,0.00130209
3,2849.62,0.88082,0.88625,1.2951,0.74618,0.67743,0.70759,0.4581,1.16227,1.41209,1.74298,0.00191606,0.00191606,0.00191606
4,3708.2,0.88094,0.80301,1.28742,0.81715,0.78887,0.77637,0.57955,0.92485,1.1131,1.43716,0.0018812,0.0018812,0.0018812
5,4682.97,0.8527,0.74908,1.2726,0.82395,0.78435,0.82365,0.64247,0.83533,0.87907,1.31616,0.0018416,0.0018416,0.0018416
6,5523.53,0.79089,0.66891,1.23562,0.86533,0.84,0.87375,0.6748,0.80715,0.79414,1.30809,0.001802,0.001802,0.001802
7,6371.02,0.77709,0.66817,1.2266,0.8889,0.84881,0.88238,0.71255,0.75398,0.71377,1.26593,0.0017624,0.0017624,0.0017624
8,7240.48,0.7611,0.6402,1.20914,0.87575,0.87646,0.89561,0.71712,0.69955,0.68067,1.22214,0.0017228,0.0017228,0.0017228
9,8199.42,0.72367,0.60698,1.18779,0.87708,0.89043,0.89918,0.74659,0.6524,0.65352,1.16404,0.0016832,0.0016832,0.0016832
10,9068.66,0.69906,0.56766,1.1694,0.8775,0.88,0.90608,0.75093,0.65154,0.67487,1.15385,0.0016436,0.0016436,0.0016436
11,9921.16,0.68876,0.55517,1.16131,0.88657,0.89565,0.90953,0.76036,0.63394,0.61868,1.13314,0.001604,0.001604,0.001604
12,10773.8,0.67855,0.5425,1.15717,0.90299,0.90652,0.91984,0.77918,0.58847,0.54745,1.10527,0.0015644,0.0015644,0.0015644
13,11631.5,0.67866,0.53517,1.15113,0.89824,0.90571,0.91799,0.78389,0.58577,0.56091,1.09632,0.0015248,0.0015248,0.0015248
14,12485.5,0.65052,0.50802,1.13469,0.91698,0.91913,0.93413,0.80198,0.55665,0.5017,1.07275,0.0014852,0.0014852,0.0014852
15,13336.6,0.63983,0.49724,1.12468,0.90646,0.90783,0.91793,0.7872,0.56853,0.52636,1.08634,0.0014456,0.0014456,0.0014456
16,14175,0.62956,0.48333,1.12451,0.90449,0.90579,0.92039,0.79001,0.565,0.59025,1.07968,0.001406,0.001406,0.001406
17,15027.8,0.61684,0.47513,1.11102,0.89882,0.91921,0.92791,0.80435,0.5358,0.51419,1.05386,0.0013664,0.0013664,0.0013664
18,15876.4,0.60912,0.46279,1.11201,0.90699,0.90348,0.92728,0.79633,0.55165,0.52243,1.07613,0.0013268,0.0013268,0.0013268
19,16718.4,0.59426,0.4532,1.10907,0.9171,0.93313,0.9341,0.82203,0.51921,0.47809,1.03394,0.0012872,0.0012872,0.0012872
20,17561,0.59932,0.45807,1.10544,0.91891,0.92261,0.92313,0.79816,0.54949,0.48938,1.0512,0.0012476,0.0012476,0.0012476
21,18406.8,0.57715,0.43767,1.08945,0.888,0.93079,0.92772,0.8067,0.5451,0.50853,1.06148,0.001208,0.001208,0.001208
